ID студента,Оценка (из 20)
202323519,7
202323401,6
202323415,6
202323413,6
202323313,7
202323421,5
202323319,8
202323608,7
202323612,8
202323317,7
202323418,5
202323614,7
202323307,7
202323316,10
202323412,7
202323610,7
202323507,6
202323502,8
202323611,5
202323605,5
202323516,8
202323604,8
202323512,8
Цю Юнтай,6
202323609,8
202323619,7
202323308,6
202323422,8
202323620,7
202323411,5
202323519,6
202323318,7
202323503,8
202323404,6
202323315,8
202323515,6
202323514,8
202323606,9
202323617,6
202323410,5
202323416,6
202323509,9
202323504,5
202323603,8
202323310,5
202323408,7
202323517,7
202323601,9
202323409,5
202323419,5
202323607,8
202323302,7
202323406,6
202323402,5
202323321,9
202323602,6
202323301,7
202323306,8
202323303,9
202323618,7
202224211,6
202224019,6
202224214,8
202224216,5
202224023,9
202224002,7
202224010,5
202224323,7
202224116,8
202224027,5
202224108,6
202224304,7
202224303,5
202224226,5
202224018,5
202224017,5
202224312,7
202224314,5
202224008,7
202224309,5
202224105,7
202224203,5
202224202,6
202224204,6
202224009,9
202224206,5
202224212,6
202224011,6
202224112,8
202224225,6
202224224,6
202224126,7
202224125,8
202224222,5
202224124,6
202224121,5
202224325,8
202224014,5
202224012,6
202224015,7
2022224211,5
202224311,6
202224109,5
202224322,6
202224107,5
202224313,5
202224310,5
202224207,5
202224024,6
202224305,5
202224020,6
202224022,6
202224315,5
202224026,5
202224319,5
202224025,5
202224318,5
202224122,9
202224106,7
202224021,6
202224115,8
202224110,6
202224123,6
202224111,7
202224114,6
202224119,7
