ID студента,Оценка (из 10)
202323401,6
202323422,5
202323415,5
202323413,5
202323514,5
202323416,5
202323421,5
202323608,5
202323503,5
202323418,5
202323317,5
Цю Юнтай,5
202323614,5
202323617,5
202323613,5
202323307,5
202323509,7
202323512,5
202323606,6
202323315,5
202323609,5
202323404,5
202323308,5
202323517,5
202323618,7
202323409,5
202323412,5
202323419,5
202323610,5
202323402,5
202323515,6
202323411,5
202323417,6
202323321,6
202323406,5
202323410,5
202323516,5
202323408,5
202323403,5
202323310,5
202323502,5
202323607,7
202323507,5
202323605,5
202323318,5
202323302,6
202323604,5
202323513,5
202323301,5
202323519,5
202323306,5
202323602,5
202323303,5
202323603,5
202224211,6
202224210,5
202224027,6
202224216,5
202224214,6
1,5
202224307,5
202224021,5
202224304,5
202224302,5
202224124,5
202224108,6
202224125,5
202224011,5
202224309,5
202224003,5
202224211,5
202224002,5
202224318,5
202224303,6
202224116,5
202224313,6
202224314,5
202224311,5
202224312,5
202224220,5
202224310,5
202224014,5
202224126,5
202224023,6
202224106,6
202224203,5
202224204,5
202224102,5
202224223,5
202224015,5
202224012,5
202224018,5
202224025,5
202224022,5
202224115,5
202224026,5
202224111,5
202224201,5
202224122,5
202224323,6
202224112,5
202224121,6
202224017,5
202224005,5
202224024,6
202224010,5
202224020,5
202224118,6
202224325,5
202224113,5
202224123,6
202224001,5
202224107,5
202224119,6
202224202,5
202224109,6
202224206,5
202224110,5
202224114,5
