ID студента,Оценка (из 10)
202323519,6
202323401,5
202323415,6
202323413,6
202323313,6
202323421,5
202323319,8
202323608,6
202323612,6
202323317,7
202323418,5
202323614,7
202323307,7
202323316,9
202323412,7
202323610,8
202323507,6
202323502,7
202323611,5
202323605,5
202323516,8
202323604,8
202323512,7
Цю Юнтай,6
202323609,8
202323619,6
202323308,6
202323422,7
202323620,7
202323411,6
202323519,6
202323318,8
202323503,8
202323404,6
202323315,8
202323515,6
202323514,8
202323606,9
202323617,7
202323410,6
202323416,6
202323509,9
202323504,5
202323603,7
202323310,5
202323408,7
202323517,7
202323601,9
202323409,5
202323419,6
202323607,8
202323302,7
202323406,6
202323402,6
202323321,9
202323602,6
202323301,7
202323306,8
202323303,7
202323618,6
202224211,6
202224019,5
202224214,8
202224216,5
202224023,6
202224002,7
202224010,5
202224323,7
202224116,9
202224027,5
202224108,6
202224304,7
202224303,5
202224226,6
202224018,5
202224017,5
202224312,8
202224314,5
202224008,7
202224309,5
202224105,7
202224203,5
202224202,6
202224204,6
202224009,9
202224206,5
202224212,5
202224011,6
202224112,8
202224225,6
202224224,6
202224126,8
202224125,8
202224222,5
202224124,6
202224121,5
202224325,8
202224014,5
202224012,6
202224015,7
2022224211,5
202224311,6
202224109,5
202224322,6
202224107,5
202224313,5
202224310,5
202224207,5
202224024,6
202224305,6
202224020,6
202224022,6
202224315,5
202224026,5
202224319,6
202224025,5
202224318,5
202224122,9
202224106,7
202224021,6
202224115,8
202224110,6
202224123,6
202224111,8
202224114,6
202224119,7
